author,date,title,summary,link
Brittany Mitchell,"Feb 22, 2024",Thriving in Tech: Removing Barriers for Black Professionals,"Discover how we try to break down barriers and create an inclusive culture where everyone thrives, including removing barriers for black professionals in tech.",/blog/post/thriving-in-tech-removing-barriers-for-black-professionals
Martin Schlögl,"Feb 20, 2024",Dedicated Cloud: An Introductory Guide to Hosting Drupal and Other Enterprise CMS Software,"Discover Dedicated Cloud: A critical evolution in cloud hosting approaches, especially as digital transformation shapes the backbone of modern enterprise strategy.",/blog/post/dedicated-cloud-an-introductory-guide
Bree Benesh,"Jan 24, 2024",The Best Hosting Solution: Top 3 Things To Look For,Finding the best hosting solution for your company's unique needs is hard work. Read on to find the top 3 things to look for.,/blog/post/the-best-hosting-solution
Sean Hamlin,"Dec 04, 2023",A Large Credential Stuffing Attack - How We Respond and Mitigate,Discover our response and mitigation strategies against 3.7 million requests and find insights and tactics to maintain the integrity and availability of your services.,/blog/post/a-large-credential-stuffing-attack
Martin Schlögl,"Nov 29, 2023",Website Uptime Guarantees Explained,What do website uptime guarantees mean? Our 3-minute read will enlighten you and explain why we “only” guarantee up to 99.99% website uptime.,/blog/post/website-uptime-guarantees-explained
Bryan Gruneberg,"Nov 21, 2023",GitOps vs. DevOps - What they are and why they are better together,GitOps vs. DevOps - A definition and explanation of the concepts and why they work best together (in our honest opinion).,/blog/post/gitops-vs-devops
Franz Karlsberger,"Nov 14, 2023",Open Source Companies: Navigating Challenges and Building a Business on Open Source,How did we build an open source company? Discover how we tackled the challenges and found practical solutions.,/blog/post/open-source-companies-navigating-challenges
Peter Wettstein,"Sep 19, 2023",Case Study: Züri Fäscht — How to Prepare Your Website for High-Traffic Events,"Explore how meticulous preparation & focus on the application & hosting, including the Content Delivery Network (CDN), is key for High-Traffic Events",/blog/post/how-to-prepare-your-website-for-high-traffic-events
Sean Hamlin,"Aug 22, 2023",Powered by Lagoon: Managing countless CSP violations using amazee.io's platform flexibility,"If you've ever dealt with web security, you've probably heard of CSP (Content Security Policy). It's the unsung hero of the web, silently guarding sites against malicious attacks.",/blog/post/powered-by-lagoon-managing-countless-csp-violations
Michael Schmid,"Jun 06, 2023",Is cloud native too hard to hire for? amazee.io can help simplify the process. Here’s how.,"Cloud native approaches, the building and deploying applications specifically designed to harness the benefits of cloud computing environments, and the much-touted catalysts of digital transformation, have gained impressive traction in recent years.",/blog/post/is-cloud-native-too-hard-to-hire-for
Sophia Harris,"Apr 27, 2023",Composable web: Drupal web hosting and the future of web architectures,Take your Drupal project to the next level with amazee.io's composable web hosting platform.,/blog/post/composable-web-drupal-web-hosting-and-the-future-of-web-architectures
Sophia Harris,"Apr 18, 2023",EKS Migration - Cut App Delivery Costs by 60% | amazee.io,Discover how we cut application delivery costs by 60% for a global pharma company with Amazon EKS Migration and Lagoon.,/blog/post/how-a-global-pharma-company-cut-application-delivery-costs
Sophia Harris,"Apr 13, 2023",Learn containers 5 minutes at a time: A preview,"Are you interested in learning about containers, Kubernetes, and modern application delivery but struggling to fit it into your busy schedule? Look no further.",/blog/post/learn-containers-5-minutes-at-a-time-a-preview
Sophia Harris,"Apr 05, 2023",Taoti Creative - Delivering more for Customers | amazee.io,"Understand how, together with us, digital agency Taoti Creative discovered the importance of flexibility & customization to offer clients the best service.",/blog/post/taoti-creative-and-amazee.io-breaking-free-from-limits-to-deliver-more
Sophia Harris,"Mar 15, 2023",Acquia Site Factory vs amazee.io PaaS: Why amazee.io has the multisite hosting advantage you need,"When it comes to amazee.io vs. Acquia Site Factory, which is the better multisite management platform? Discover our comprehensive comparison.",/blog/post/acquia-site-factory-vs-amazee-io-paas
Sophia Harris,"Mar 08, 2023",Why developers need DevOps-as-a-Service: A solution to Kubernetes management and developer burnout,"Kubernetes is a game-changer for modern businesses, as it standardizes and unifies functionalities that applications can leverage to work securely and reliably.",/blog/post/why-developers-need-devops-as-a-service
Sophia Harris,"Feb 21, 2023",What Is Platform Engineering | amazee.io,"Learn what Platform engineering is, an approach that can help teams unlock reusable infrastructure & solve problems through platforms instead of services.",/blog/post/unlocking-the-power-of-platform-engineering
Alanna Burke,"Feb 02, 2023",A day in the life inside Lagoon: A step-by-step tutorial demo,"Discover how this blog post will you understand exactly how Lagoon works, from your local development environment to deployment.",/blog/post/a-day-in-the-life-inside-lagoon-a-step-by-step-tutorial
Michael Schmid,"Jan 24, 2023",Should developers have to do Kubernetes?,Kubernetes is a game-changer. But does that mean developers should be the ones responsible for building and maintaining it?,/blog/post/should-developers-have-to-do-kubernetes
Sophia Harris,"Jan 17, 2023",How to scale Kubernetes with a small team,"Want to use Kubernetes but fear your team is too small? It’s not as hard as you’d think, even on the smallest teams!",/blog/post/how-to-scale-kubernetes-with-a-small-team
Sophia Harris,"Nov 16, 2022",What are the benefits of using open source software? And other questions with amazee.io,"We sat down to examine all things open source: What it is, why it matters, and why we use it ourselves with our open source platform as a service (PaaS)",/blog/post/what-are-the-benefits-of-using-open-source-software
Sophia Harris,"Oct 25, 2022",How one SaaS company saved $70k in startup costs and went to market a year faster,"Learn how Pipelyft, a European SaaS Start-Up, saved $70k in startup costs and went to market a year faster with the help of Lagoon & amazee.io",/blog/post/how-one-saas-company-saved-70k-in-startup-costs
Sophia Harris,"Oct 18, 2022",How can we preserve developers’ freedom? And other questions with amazee.io,In our first monthly Q&A session the topic will be about preserving developer freedom and discussing the best ways that developers can use their time.,/blog/post/how-can-we-preserve-developers-freedom
Sophia Harris,"Sep 29, 2022",Will greener hosting help reduce my website’s carbon emissions?,"Many people don’t realize this, but websites do, in fact, have a carbon footprint - sometimes a very large one. We can help reduce this!",/blog/post/will-greener-hosting-help
Scott Leggett,"Sep 13, 2022",Part 2: How secure are you in 2022?,Discover helpful information and practical tips on how to secure your web apps and sites once and for all.,/blog/post/part-2-how-secure-are-you-in-2022
Sophia Harris,"Aug 11, 2022",What is ZeroOps? Solving Your DevOps Challenges,Discover ZeroOps: A set of practices that result in developers focusing solely on coding and creating with 0% of their time spent on DevOps or infrastructure.,/blog/post/what-is-zeroops
Chris Davis,"Aug 02, 2022",Which website security risks do you really need to worry about in 2022?,"How to truly secure your website or applications, once and for all.",/blog/post/website-security-risks-in-2022
Michael Schmid,"Jul 28, 2022",Here’s why we use and recommend Lens for Kubernetes,"With the news of Lens 6 & Lens Pro being released, I wanted to take a moment to share my views and experiences with Lens - and why we find it so valuable",/blog/post/why-we-use-and-recommend-lens-for-kubernetes
Sophia Harris,"Jul 21, 2022",Top benefits of CI/CD in web hosting - and what it means for developers,"Discover what CI/CD is and how you, as a developer, can benefit from the DevOps approach and streamline your workflow.",/blog/post/top-benefits-of-cicd-in-web-hosting
Sophia Harris,"Jun 29, 2022","Reaping the Benefits of Kubernetes 
(with Lagoon)",How Lagoon can help developers use Kubernetes sooner - not later. No experience required to start using.,/blog/post/benefits-of-kubernetes-with-lagoon
Sophia Harris,"Jun 15, 2022","“Simply push your code.” What does that mean, exactly?",Read our post to understand what repositories and branches are and what it means to simply push your code,/blog/post/simply-push-your-code
Martin Schlögl,"Jun 01, 2022",What is containerized hosting?,What are the benefits of using containerized hosting? What are some signs that I should switch to containers?,/blog/post/what-is-containerized-hosting
Bastian Widmer,"Apr 27, 2022",K8s 101: Is Kubernetes essential for developers? Here’s how to start using it today,"Kubernetes is an open source container orchestration system that helps automate processes relating to building, hosting, and running applications (or websites).",/blog/post/k8s-101-is-kubernetes-essential-for-developers
Sophia Harris,"Apr 19, 2022",The Top 7 WebOps Questions Answered,WebOps: What even is it? we've collected the most common questions about WebOps. Discover the answers in our Q&A with Bryan Gruneberg.,/blog/post/the-top-7-webops-questions-answered
Thom Toogood,"Apr 05, 2022",How to simplify your data sovereignty strategy,"As organizations grow, there is more global interconnectedness and international business. Many businesses are struggling with data privacy and security.",/blog/post/how-to-simplify-your-data-sovereignty-strategy
Bryan Gruneberg,"Mar 24, 2022",What you need to know about open source software and DevOps,"Open source project creation jumped 40% from 2019 to 2020. In a post-pandemic world, many enterprises consider open source software essential for the future.",/blog/post/what-you-need-to-know-about-open-source-software-and-webops
Bryan Gruneberg,"Mar 22, 2022",5 Key reasons more businesses are relying on WebOps in 2022,"WebOps practices & platforms are here to increase the productivity & efficiency of the web team for a smoother, integrated hosting operations experience",/blog/post/5-key-reasons-more-businesses-are-relying-on-webops
Bryan Gruneberg,"Mar 15, 2022",What is WebOps? How does it Solve your Hosting Problems?,What is WebOps? How does it Solve your Hosting Problems? Read our article to find the answers and learn how we can support you on your WebOps journey,/blog/post/what-is-webops
Sophia Harris,"Mar 09, 2022","If Spotify can go down, is anyone safe?","On March 3rd, 2022, the Spotify website was down for over 406 million users. Why did they go down? And can this happen to you? Read on to learn more!",/blog/post/if-spotify-can-go-down-is-anyone-safe
Stephanie Ogozaly,"Jan 17, 2022",What is Dedicated Cloud? And Why You Should Move to It,"It’s not just your web presence and web application—it’s your daily business, or the daily business of your valued clients. So, why would you treat your web hosting solution as an afterthought?",/blog/post/what-is-dedicated-cloud-and-why-you-should-move-to-it
Tim Clifford,"Nov 17, 2021","Your workflow, your way: Leveraging the Lagoon API for custom CI/CD pipelines & development workflows","Lagoon has grown to become the Swiss army knife tool for application delivery onto Kubernetes clusters, removing the need to actually understand how to use Kubernetes itself.",/blog/post/your-workflow-your-way
Stephanie Ogozaly,"Sep 27, 2021",What was the CWP for the New Zealand Government — and what's next?,The Common Web Platform (CWP)'s platform-as-a-service offering has come to an end for New Zealand's government websites. Agencies can now purchase web-managed services from the open market.,/blog/post/what-was-the-cwp-for-the-new-zealand-government-and-whats-next
Stephanie Ogozaly,"Jul 21, 2021",What is a Content Delivery Network (CDN) – and why do you need one?,Nothing kills a website experience quite like sluggish loading times. Did you know that the first five seconds of page-load time have the highest impact on conversion rates?,/blog/post/what-is-a-content-delivery-network-cdn
Stephanie Ogozaly,"Jun 30, 2021",Lagoon 2 is Available Now! Here’s What’s New,"As the initiator of Lagoon, amazee.io is always pleased to see the latest updates and contributions to this leading container-based hosting solution. This is why we’re happy to share that the Lagoon team has made the first release candidate for Lagoon 2 available!",/blog/post/lagoon-2-is-available-now
Stephanie Ogozaly,"Jun 23, 2021",amazee.io earns High Performer ranking in Web Hosting and Continuous Delivery on G2,"amazee.io has been named a High Performer in both Web Hosting and Continuous Delivery by G2.com, Inc., one of the most respected platforms for sharing business services and software reviews.",/blog/post/amazee-io-earns-high-performer-ranking
Stephanie Ogozaly,"Jun 07, 2021",What is CI/CD? A Primer on Continuous Integration and Continuous Delivery,Understanding the principles of CI/CD is the first step in deciding if automation is right for your DevOps team and your business.,/blog/post/white-paper-what-is-ci-cd
Bryan Gruneberg,"Apr 13, 2021","amazee.io launches first Agency Partner Program, creating reseller and referral opportunities for agencies around the world",Agency partner program launch! Discover how we can support your agency with our enterprise PaaS hosting solutions,/blog/post/amazee-io-launches-agency-partner-program
Franz Karlsberger,"Apr 06, 2021",amazee.io – Now Available in AWS Marketplace,amazee.io is now available on AWS Marketplace. Discover a simplified way to purchase and be billed for software and services in a centralized place!,/blog/post/amazeeio-now-available-in-aws-marketplace
Stephanie Ogozaly,"Mar 23, 2021",7 Tips: How to Survive a High-Traffic Event,Is your website down because you unexpectedly got a ton of traffic? Discover our 7 Tips on how to survive a high-traffic event!,/blog/post/survive-a-high-traffic-event
Seth Meeks,"Mar 03, 2021","Master the Fundamentals of K8s:
Kubernetes 101 video series with Jeff Geerling","Learn how to take full advantage of Kubernetes to build, deliver and scale containerized apps faster – it's a must for developers.",/blog/post/master-the-fundamentals-of-k8s
Alanna Burke,"Dec 02, 2020",A new home (and platform) for our Lagoon documentation,"Discover our Lagoon documentation on its new platform, GitBook, and find a new online residence for the documentation at https://docs.lagoon.sh!",/blog/post/a-new-home-and-platform-for-our-lagoon-documentation
Toby Bellwood,"Sep 15, 2020",Talking Kubernetes on Talking Drupal Podcast,Listen in as we discuss Kubernetes and Drupal on the podcast Talking Drupal. The conversation covers the history & intricacies of running Drupal on Kubernetes.,/blog/post/talking-kubernetes-on-talking-drupal-podcast
Felix Morgan,"Jul 17, 2020",Origins of Lagoon - Interview with Michael Schmid on Drupal Easy,DrupalEasy podcast: The origins of Lagoon & amazee.io—What it means to run a completely open source platform & how it fits into a Drupal development workflow.,/blog/post/origins-of-lagoon-drupaleasy-interview-with-michael-schmid
Nicole DeAngelis,"Jun 29, 2020",A Marketer’s Perspective on Web Hosting,"Discover what I, as a marketer, learned by switching to amazee.io as our hosting provider. Hint: We saved 90% on hosting costs.",/blog/post/a-marketers-perspective-on-web-hosting
Nicole DeAngelis,"May 27, 2020",Exploring Self-Managed Kubernetes? Here’s what to consider:,Unsure how to navigate the booming Kubernetes options? We can help! Explore key considerations for your DIY migration journey.,/blog/post/exploring-self-managed-kubernetes-heres-what-to-consider
Michael Schmid,"Apr 17, 2020",Why we’re moving to Managed Kubernetes,We have moved Lagoon to managed Kubernetes containerized hosting. Read here to find out why this enterprise-class solution fits all our hosting requirements,/blog/post/why-were-moving-to-managed-kubernetes
Nicole DeAngelis,"Mar 17, 2020",Announcing Lando Integration for Lagoon,"We partnered with Lando (by Tandem) to improve Lagoon's local dev experience for developers, leveraging Lando's existing features and simplifying workflow.",/blog/post/announcing-lando-integration-for-lagoon
Brandon Williams,"Feb 12, 2020",GitLab Contribution,We had the chance to contribute to an issue in GitLab: Our RBAC system allows Lagoon users & companies to assign roles with different permissions via our API.,/blog/post/gitlab-contribution
Ben Jackson,"Dec 17, 2019",Lagoon-CLI — an essential tool for managing Lagoon sites.,"Discover the Lagoon User Interface, providing a far more convenient option for consuming information about your sites running on Lagoon.",/blog/post/lagoon-cli-an-essential-tool-for-managing-lagoon-sites
Seth Meeks,"Oct 21, 2019",Webinar Recap: Kubernetes 102,"These days, most applications are being built using containers. Since Kubernetes can enable its users to orchestrate and schedule containers to run on virtua...",/blog/post/webinar-recap-kubernetes-102
Michael Schmid,"Sep 25, 2019",Graceful Shutdown for Node.js in two easy steps,"Node.js has integrated web server capabilities, but the out of the box settings don’t include a good way to initiate a graceful shutdown. Our experience in h...",/blog/post/graceful-shutdown-for-node-js-in-two-easy-steps
Seth Meeks,"Sep 13, 2019",Kubernetes 101 Webinar Recap,"In our last Webinar, Michael Schmid of amazee.io explained the basics of Kubernetes: What it is, how it works, and why everybody is excited about it. Contain...",/blog/post/kubernetes-101-webinar-recap
Chris Davis,"Sep 5, 2019",Uptime Guarantees Explained,"These days, most web hosting providers offer an uptime guarantee as part of their marketing strategy and Service Level Agreement (SLA) to promote the uptime,...",/blog/post/uptime-guarantees-explained
Michael Schmid,"Jul 3, 2019",Managing and Staging Multiple Drupal Sites with Lagoon,"Managing multiple sites with a combination of shared and individual code, features, and databases are challenging. Drupal includes a feature called “Multi Si...",/blog/post/managing-and-staging-multiple-drupal-sites-with-lagoon
Nicole DeAngelis,"Feb 20, 2019",A Primer on Web Hosting,"A staggering amount of tools and technologies converge to deliver what we know as the “web,” which makes it difficult to track what they all do and why. Host...",/blog/post/a-primer-on-web-hosting
Michael Schmid,"Sep 4, 2018",Server-side Rendering Best Practices: How We Run Decoupled Websites with 110 Million Hits per Month,"We value transparency in all things, and while our entire platform Lagoon is open-source, we know it is helpful to share our processes alongside just our cod...",/blog/post/server-side-rendering-best-practices-how-we-run-decoupled-websites-with-110-million-hits-per-month
Michael Schmid,"Sep 4, 2018",Best Practices for Reducing Hits,At amazee.io our pricing is a hits-based system that is more flexible and saves you money. You can learn more about why we chose this system and how it works...,/blog/post/best-practices-for-reducing-hits
Michael Schmid,"May 30, 2018",Your fastest Drupal experience ever: Drupal 8 Cache Tags and Varnish,Adding Varnish to a Drupal hosting stack can make things very fast but can also make them complicated. We will show you why Cache Tags are the key to accessi...,/blog/post/your-fastest-drupal-experience-ever-drupal-8-cache-tags-and-varnish
Michael Schmid,"Mar 29, 2018",Beating the Black Hats in time: Mitigating Drupal SA-CORE-2018–002 on an infrastructure level.,Security is one of our highest priorities. This can be seen in many different places within amazee.io including: authenticating developers with public/privat...,/blog/post/beating-the-black-hats-in-time-mitigating-drupal-sa-core-2018-002-on-an-infrastructure-level
Michael Schmid,"Jan 17, 2018",A modern architecture for simplytest.me,"simplytest.me was created by Patrick D, a longtime Drupal community member, and has been helping the community for several years. With simplytest.me you can ...",/blog/post/a-modern-architecture-for-simplytest-me
Michael Schmid,"Dec 2, 2017",On-Premises Hosting,"amazee.io offers innovative hosting solutions by developers for developers. Our technology is flexible enough to fit your needs, and sometimes your needs are...",/blog/post/on-premises-hosting
Michael Schmid,"Nov 21, 2017",Best Practices for Reducing Hits,At amazee.io our pricing is a hits-based system that is more flexible and saves you money. You can learn more about why we chose this system and how it works...,/blog/post/best-practices-for-reducing-hits-1
Bastian Widmer,"Oct 10, 2017",Performance — Why you should consider moving to PHP7,"Update: PHP 7.2 is out and we support it fully in our new hosting product, Lagoon. Programming languages are ever evolving in each iteration. PHP also went t...",/blog/post/performance-why-you-should-consider-moving-to-php7
Michael Schmid,"Jun 13, 2017",Docker on Mac Performance: Docker Machine vs Docker for Mac,"One of the key advantages of Docker is the ability to run Docker Images on any operating system. An image is a lightweight, stand-alone, executable package t...",/blog/post/docker-on-mac-performance-docker-machine-vs-docker-for-mac
Bastian Widmer,"May 24, 2017",Under the hood of amazee.io’s Raspberry Pi cluster,"As technology becomes more complex, many people just stop paying attention how systems are built and simply use the tools. It’s all magic after all, right? W...",/blog/post/under-the-hood-of-amazee-io-s-raspberry-pi-cluster
Tyler Ward,"Aug 3, 2016",Easy Local Drupal Development on OS X,Sometimes getting Drupal to run locally can be a bit of a challenge. You may be working on projects which require a stack that Drupal doesn’t like. Perhaps y...,/blog/post/easy-local-drupal-development-on-os-x-1
Bastian Widmer,"Jun 30, 2016",Handling High Traffic — Gotthard Base Tunnel,"The internet is changing every second and the events which influence site traffic are a changeable as the weather. From one day to the next, a site’s traffic...",/blog/post/handling-high-traffic-gotthard-base-tunnel
